Investment Name, Dates1, Prices1, Dates2, Prices2, Dates3, Prices3
"Vanguard FTSE 100 Index Unit Trust A GBP Income, GB00BD3RZ251:GBP historical prices","June 09, 2020",96.12,"June 08, 2020",98.2,"June 05, 2020",98.84
"Vanguard FTSE 100 UCITS ETF, VUKE:LSE:GBP historical prices","June 09, 2020",28.53,"June 08, 2020",28.4,"June 05, 2020",28.19
"Vanguard FTSE U.K. Equity Income Index Inc, GB00B5B74684:GBP historical prices","June 09, 2020",139.93,"June 08, 2020",143.64,"June 05, 2020",142.4
"Vanguard S&P 500 UCITS ETF, VUSA:LSE:GBP historical prices","June 09, 2020",48.26,"June 08, 2020",47.83,"June 05, 2020",47.13
"Vanguard US Equity Index Inc, GB00B5B74S01:GBP historical prices","June 08, 2020",475.02,"June 05, 2020",467.63,"June 04, 2020",459.83
"Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF USD Distributing, VAPX:LSE:GBP historical prices","June 09, 2020",18.81,"June 08, 2020",18.83,"June 05, 2020",18.5
"Vanguard Global Minimum Volatility UCITS ETF Shares USD Acc, VMVL:LSE:GBP historical prices","June 09, 2020",26.22,"June 08, 2020",26.08,"June 05, 2020",26.15
"Vanguard FTSE Emerging Markets UCITS ETF USD Distributing, VFEM:LSE:GBP historical prices","June 09, 2020",43.68,"June 08, 2020",43.29,"June 05, 2020",43.01
-,,,,,,
"Vanguard Investments Funds ICVC-Vanguard U.K. Long Duration Gilt Index Fund A GBP Gross Income, GB00B44DQC62:GBP historical prices","June 09, 2020",202.76,"June 08, 2020",199.74,"June 05, 2020",199.24
"Vanguard U.K. Investment Grade Bond Index Fund GBP Income, IE00B1S74W91:GBP historical prices","June 08, 2020",61.55,"June 05, 2020",61.02,"June 04, 2020",61.3
"Vanguard USD Treasury Bond UCITS ETF, VUTY:LSE:GBP historical prices","June 09, 2020",21.06,"June 08, 2020",20.96,"June 05, 2020",20.99
"Vanguard USD Corporate 1-3 year Bond UCITS ETF, VUSC:LSE:GBP historical prices","June 09, 2020",40.87,"June 08, 2020",40.91,"June 05, 2020",40.95
"Vanguard USD Corporate Bond UCITS ETF, VUCP:LSE:GBP historical prices","June 09, 2020",44.88,"June 08, 2020",44.32,"June 05, 2020",44.59
