Dates, Investments, Prices
"June 03, 2020","Vanguard FTSE 100 Index Unit Trust A GBP Income, GB00BD3RZ251:GBP historical prices",97.29
"June 04, 2020","Vanguard FTSE 100 UCITS ETF, VUKE:LSE:GBP historical prices",28.1
"June 03, 2020","Vanguard FTSE U.K. Equity Income Index Inc, GB00B5B74684:GBP historical prices",139.68
"June 04, 2020","Vanguard S&P 500 UCITS ETF, VUSA:LSE:GBP historical prices",47.16
"June 03, 2020","Vanguard US Equity Index Inc, GB00B5B74S01:GBP historical prices",461.69
"June 04, 2020","Vanguard FTSE Developed Asia Pacific ex Japan UCITS ETF USD Distributing, VAPX:LSE:GBP historical prices",18.29
"June 04, 2020","Vanguard Global Minimum Volatility UCITS ETF Shares USD Acc, VMVL:LSE:GBP historical prices",26.26
"June 04, 2020","Vanguard FTSE Emerging Markets UCITS ETF USD Distributing, VFEM:LSE:GBP historical prices",43.07
"June 03, 2020","Vanguard Investments Funds ICVC-Vanguard U.K. Long Duration Gilt Index Fund A GBP Gross Income, GB00B44DQC62:GBP historical prices",202.63
"June 03, 2020","Vanguard U.K. Investment Grade Bond Index Fund GBP Income, IE00B1S74W91:GBP historical prices",60.86
"June 04, 2020","Vanguard USD Treasury Bond UCITS ETF, VUTY:LSE:GBP historical prices",21.43
"June 04, 2020","Vanguard USD Corporate 1-3 year Bond UCITS ETF, VUSC:LSE:GBP historical prices",41.48
"June 04, 2020","Vanguard USD Corporate Bond UCITS ETF, VUCP:LSE:GBP historical prices",45.09
